,Product Description,Category,Product Brand,Mrp,Offer,Rs
0,Olive Oil - Extra Light,Olive & Canola Oils,BORGES,2600.00,60% OFF,1040.00
1,Sunflower Refined Oil,"Sunflower, Rice Bran Oil",Fortune ,173.00,28% OFF,125.00
2,Pure Cow Ghee,Ghee & Vanaspati,Nandini,450.00,₹7 OFF,443.00
3,Gold - Pro Healthy Lifestyle Edible Oil,Blended Cooking Oils,Saffola,825.00,14% OFF,711.98
4,Oil - Gingelly,Gingelly Oil,Idhayam,337.00,₹6 OFF,331.00
5,Refined - Sunflower Oil,"Sunflower, Rice Bran Oil",Dhara ,160.00,26% OFF,119.00
6,Kachi Ghani Mustard Oil,Soya & Mustard Oils,Fortune ,96.00,13% OFF,84.00
7,Cow Desi Ghee (905 g),"Organic Edible Oil, Ghee",Fresho Organic,999.00,30% OFF,695.00
8,Pooja Oil,Other Edible Oils,Anandam,140.00,22% OFF,109.00
9,Refined - Sunflower Oil,"Sunflower, Rice Bran Oil",Sunpure ,149.00,22% OFF,116.00
10,Refined Oil - Rice Bran,"Sunflower, Rice Bran Oil",Fortune ,435.00,13% OFF,378.00
11,Tasty - Pro Fitness Conscious Edible Oil,Blended Cooking Oils,Saffola,125.00,14% OFF,108.00
12,Olive Oil - Extra Light,Olive & Canola Oils,BORGES,5500.00,50% OFF,2748.90
13,Pure Cow Desi Ghee,Ghee & Vanaspati,Fresho,145.00,18% OFF,119.00
14,Shudhi - Coconut Oil,Other Edible Oils,Kpl,155.00,,155.00
15,Coconad - Coconut Oil,Other Edible Oils,Klf ,300.00,₹30 OFF,270.00
16,Sunflower Refined Oil,"Sunflower, Rice Bran Oil",Fortune ,895.00,31% OFF,614.00
17,Ghee,Ghee & Vanaspati,Grb,325.00,,325.00
18,Oil - Groundnut,Other Edible Oils,Dhara ,195.00,₹17 OFF,178.00
19,Healthy & Tasty - Kachi Ghani Mustard Oil,Soya & Mustard Oils,Emami,155.00,₹11 OFF,144.00
